res_id,name,establishment,address,city,city_id,locality,latitude,longitude,zipcode,country_id,locality_verbose,cuisines,timings,average_cost_for_two,price_range,currency,highlights,aggregate_rating,rating_text,opentable_support,delivery,takeaway,STATE,AREA,votes
5932,Soni Bakers,['Bakery'],"J-90, Main Market, Rajouri Garden, New Delhi",New Delhi,1,Rajouri Garden,28.64522008,77.12124668,,1,"Rajouri Garden, New Delhi","Bakery, Fast Food, Street Food, Chinese, Momos",11 AM to 9:30 PM,450,1,Rs.,"['Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Indoor Seating', 'Air Conditioned', 'Desserts and Bakes']",3.9,Good,0,-1,-1,Delhi,1484,355
18639188,Slice of Italy,['Quick Bites'],"Plot 5, Shop 113-116, Krishna Mall, Sector 12 Dwarka",New Delhi,1,"Sector 12, Dwarka",28.59594362,77.04895377,,1,"Sector 12, Dwarka, New Delhi","Pizza, Italian, Salad, Bakery, Sandwich, Beverages",10 AM to 1 AM,500,2,Rs.,"['Dinner', 'Delivery', 'Credit Card', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Breakfast', 'Indoor Seating', 'Digital Payments Accepted', 'Axis Bank - Dining Delights', 'Air Conditioned']",3.8,Good,0,1,-1,Delhi,1484,515
18082237,The Artful Baker,['Bakery'],"Shop 13-B, Khan Market, New Delhi",New Delhi,1,Khan Market,28.5997602,77.2266814,,1,"Khan Market, New Delhi","Bakery, Fast Food",8 AM to 10:30 PM (Mon-Sun),600,2,Rs.,"['Credit Card', 'No Alcohol Available', 'Cash', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Wifi', 'Desserts and Bakes']",4,Very Good,0,1,-1,Delhi,1484,361
5928,Pastry Palace,['Bakery'],"G-4, Vardhaman Ring Road Plaza, Outer Ring Road, Vikaspuri, New Delhi",New Delhi,1,Vikaspuri,28.63952462,77.08242439,110018,1,"Vikaspuri, New Delhi","Bakery, Fast Food",9 AM to 11:30 PM (Mon-Sun),150,1,Rs.,"['No Seating Available', 'Cash', 'Takeaway Available', 'Debit Card', 'Delivery', 'Credit Card', 'Air Conditioned', 'Desserts and Bakes']",3.9,Good,0,1,-1,Delhi,1484,319
309848,Singla's,['Sweet Shop'],"232, Near Dwarka Sector 9 Metro Station, Sector 9, Dwarka",New Delhi,1,"Sector 9, Dwarka",28.57432139,77.06717435,75,1,"Sector 9, Dwarka, New Delhi","Mithai, South Indian, Chinese, North Indian, Street Food, Fast Food",8 AM to 2 AM,500,2,Rs.,"['Lunch', 'Delivery', 'Breakfast', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Outdoor Seating', 'Digital Payments Accepted', 'Axis Bank - Dining Delights', 'Pure Veg', 'Desserts and Bakes', 'Indoor Seating', 'Air Conditioned']",3.7,Good,0,-1,-1,Delhi,1484,1873
496,Bikanervala,['Sweet Shop'],"Plot 3-5, Sector 29,Near Leisure Valley Park,  Gurgaon",Gurgaon,1,Sector 29,28.46851681,77.06357248,122002,1,"Sector 29, Gurgaon","Mithai, Street Food, South Indian, North Indian, Chinese",8 AM to 11 PM,600,2,Rs.,"['No Alcohol Available', 'Dinner', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Lunch', 'Cash', 'Breakfast', 'Sodexo', 'Air Conditioned', 'Indoor Seating', 'Ticket Restaurant', 'Pure Veg', 'Desserts and Bakes']",4.1,Very Good,0,1,-1,Haryana,44212,2316
5056,Om Sweets & Snacks,['Quick Bites'],"84-85, Shopping Complex, Sector 14, Gurgaon",Gurgaon,1,Sector 14,28.47347059,77.04784837,0,1,"Sector 14, Gurgaon","North Indian, Mithai, Fast Food, South Indian, Chinese",8am â€“ 10:30pm (Mon-Sun),500,2,Rs.,"['Lunch', 'Delivery', 'Breakfast', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Free Parking', 'Air Conditioned', 'Pure Veg', 'Desserts and Bakes', 'Indoor Seating']",4.1,Very Good,0,-1,-1,Haryana,44212,1621
18281973,Mithaas,['Sweet Shop'],"RN-1, B Block, Sector 62, Noida",Noida,1,Sector 62,28.61815092,77.37065792,,1,"Sector 62, Noida","Mithai, North Indian, South Indian, Street Food, Chinese",8 AM to 10 PM (Mon-Sun),550,2,Rs.,"['Cash', 'Delivery', 'Breakfast', 'Lunch', 'Dinner', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Pure Veg', 'Desserts and Bakes', 'Outdoor Seating', 'Wifi', 'Indoor Seating']",4.1,Very Good,0,1,-1,Uttar Pradesh,240928,866
6878,Bikanervala,['Sweet Shop'],"Ground Floor, ILD Trade Centre, Sohna Road, Gurgaon",Gurgaon,1,Sohna Road,28.42519763,77.03896053,0,1,"Sohna Road, Gurgaon","Mithai, Street Food, South Indian, North Indian, Chinese",10 AM to 10 PM,600,2,Rs.,"['Lunch', 'Cash', 'Delivery', 'Debit Card', 'Dinner', 'Takeaway Available', 'Credit Card', 'Sodexo', 'Ticket Restaurant', 'Pure Veg', 'Indoor Seating', 'Air Conditioned', 'Wheelchair Accessible', 'Desserts and Bakes']",3.9,Good,0,1,-1,Haryana,44212,962
18277256,Hira Sweets,['Sweet Shop'],"Indirapuram Habitat Centre, Indirapuram, Ghaziabad",Ghaziabad,1,"Indirapuram Habitat Centre, Indirapuram",28.63953433,77.36990657,,1,"Indirapuram Habitat Centre, Indirapuram, Ghaziabad","Mithai, North Indian, South Indian, Fast Food",8:30am â€“ 11pm (Mon-Sun),450,1,Rs.,"['Dinner', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Lunch', 'Cash', 'Breakfast', 'Indoor Seating', 'Pure Veg', 'Desserts and Bakes']",4,Very Good,0,1,-1,Uttar Pradesh,240928,696
